learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 1, dataset_size: 1, data_augmentation: False, model_type: 1, exp_name: 0, loss: 10.631959533691406, acc: 0.32857142857142857
loss,val_acc,acc,val_loss
9.21238326,0.41269841,0.42789000,9.28046033
9.18280179,0.42063493,0.43028000,9.27994104
9.17587083,0.42063493,0.43071000,9.27833768
9.15523961,0.42063493,0.43199000,9.27844865
9.21697190,0.42063493,0.42816000,9.27849993
9.14298983,0.42063493,0.43275000,9.27929508
9.17393659,0.42063493,0.43083000,9.28012404
9.16507163,0.42063493,0.43138000,9.28221255
9.17055178,0.42063493,0.43104000,9.28221255
9.12139160,0.42063493,0.43409000,9.28221255
