learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 1, dataset_size: 10, data_augmentation: False, model_type: 1, exp_name: 0, loss: 0.3703354318413403, acc: 0.9571428571428572
loss,val_loss,acc,val_acc
0.08467721,0.42545741,0.98729000,0.94682539
0.00006007,0.47819356,1.00000000,0.94523810
0.00001352,0.50939232,1.00000000,0.94523809
0.00000389,0.53458558,1.00000000,0.94682540
0.00000127,0.55624926,1.00000000,0.94603175
0.00000048,0.57557739,1.00000000,0.94444444
0.00000023,0.58800487,1.00000000,0.94365080
0.00000015,0.60361592,1.00000000,0.94365080
0.00000012,0.61569499,1.00000000,0.94206349
0.00000012,0.62081404,1.00000000,0.94285715
