learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 1, dataset_size: 50, data_augmentation: False, model_type: 1, exp_name: 0, loss: 0.689782678187, acc: 0.941587301663
val_loss,val_acc,loss,acc
3.64657052,0.51728571,0.93543889,0.91040000
4.63917203,0.51714286,0.04258526,0.98758000
5.56116117,0.50942857,0.03107410,0.99135000
5.83292153,0.50957143,0.02170349,0.99385000
5.85141249,0.50671429,0.01598282,0.99580000
6.41423594,0.51171428,0.01588521,0.99640000
6.52866125,0.50100000,0.01245810,0.99739000
6.61465123,0.50185714,0.01512477,0.99661000
6.54355917,0.50328571,0.01016688,0.99761000
6.83075773,0.51285714,0.01292953,0.99768000
