learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 1, dataset_size: 75, data_augmentation: False, model_type: 1, exp_name: 0, loss: 0.5428188629571856, acc: 0.9485714285714286
acc,loss,val_acc,val_loss
0.95214000,0.22606587,0.95449735,0.17923644
0.98271000,0.05754080,0.95185185,0.26255809
0.98624000,0.04493956,0.95470899,0.24320619
0.98927000,0.03673892,0.95301587,0.32968053
0.99168000,0.02974930,0.95174603,0.36992721
0.99292000,0.02589418,0.95343915,0.39900095
0.99418000,0.02076975,0.95153439,0.40735863
0.99522000,0.01895748,0.95259259,0.44896936
0.99578000,0.01663452,0.95354497,0.45567858
0.99574000,0.01732422,0.95216931,0.46126885
