learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 1, dataset_size: 1, data_augmentation: True, model_type: 1, exp_name: 1, loss: 1.1190248278102704, acc: 0.9142857142857143
val_loss,val_acc,acc,loss
0.48915991,0.88888888,0.89635000,0.29102037
0.72978482,0.88095237,0.91567000,0.23113135
1.00183890,0.87301587,0.91879000,0.22186168
0.98237980,0.87301587,0.91923000,0.22059864
1.15198335,0.84920635,0.92242000,0.20951326
0.78824077,0.90476190,0.92318000,0.20767407
1.11176164,0.88095240,0.92274000,0.20963028
1.10918373,0.86507935,0.92457000,0.20534669
1.24569939,0.88888890,0.92448000,0.20721489
1.35967002,0.87301586,0.92492000,0.20464902
