learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 1, dataset_size: 10, data_augmentation: True, model_type: 1, exp_name: 1, loss: 0.33447253711787717, acc: 0.9514285704067775
val_acc,acc,val_loss,loss
0.91825396,0.83761999,0.36504324,0.62676875
0.93412698,0.86853999,0.31072525,0.37959696
0.92380952,0.88336000,0.35249285,0.33843318
0.93333333,0.88753000,0.29515284,0.32495277
0.94206349,0.89032000,0.30404729,0.31647863
0.94126984,0.89175000,0.39398089,0.31172428
0.93174603,0.89321000,0.41780201,0.31187578
0.93492063,0.89289000,0.40458495,0.30975785
0.92777778,0.89573000,0.53222239,0.30194587
0.93174603,0.89659000,0.48108204,0.30008152
