learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 1, dataset_size: 100, data_augmentation: True, model_type: 1, exp_name: 1, loss: 0.2259919484087399, acc: 0.9471428571428572
acc,val_loss,loss,val_acc
0.80451000,0.22498539,0.95878598,0.94134920
0.84192999,0.24414811,0.46774099,0.93547619
0.85087999,0.22238949,0.43877308,0.94436508
0.84270000,0.22275022,0.45730521,0.94269841
0.85982999,0.19474713,0.40315720,0.94571428
0.86330000,0.19024958,0.39034824,0.94365079
0.86482999,0.21097561,0.38167798,0.94722222
0.86588000,0.22086574,0.38289280,0.94206349
0.86621999,0.21026195,0.37741256,0.94714286
0.86793999,0.23685947,0.37221441,0.94373016
