learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 1, dataset_size: 75, data_augmentation: True, model_type: 1, exp_name: 1, loss: 0.25018600301282656, acc: 0.9474285714285714
val_loss,val_acc,loss,acc
0.24064091,0.94349206,0.50137807,0.84113000
0.23506493,0.94116402,0.39407606,0.86526999
0.24206326,0.94031746,0.37704885,0.87018000
0.27297351,0.94190476,0.37487017,0.87132000
0.25244883,0.94888889,0.37176948,0.87248999
0.22431350,0.94910053,0.36388777,0.87601000
0.29023090,0.93439153,0.36802402,0.87473999
0.24205931,0.94243386,0.35883855,0.87765999
0.28170748,0.94074074,0.36287522,0.87686000
0.27187647,0.94264550,0.36063946,0.87610000
