learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 2, dataset_size: 1, data_augmentation: False, model_type: 1, exp_name: 2, loss: 0.0276086962475, acc: 0.992063485441
val_loss,val_acc,loss,acc
6.90300124,0.32365079,0.06250121,0.98408000
7.44774742,0.32317460,0.00000478,1.00000000
7.79214837,0.32317460,0.00000126,1.00000000
8.07039884,0.32285714,0.00000045,1.00000000
8.27807290,0.32111111,0.00000021,1.00000000
8.40234188,0.32095238,0.00000013,1.00000000
8.44890089,0.32047619,0.00000012,1.00000000
8.45962743,0.31984127,0.00000012,1.00000000
8.45962743,0.31984127,0.00000012,1.00000000
8.45962743,0.31984127,0.00000012,1.00000000
