learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 2, dataset_size: 10, data_augmentation: False, model_type: 1, exp_name: 2, loss: 0.00017115303345896054, acc: 1.0
val_acc,val_loss,acc,loss
1.00000000,0.00026519,0.97023000,0.14056157
1.00000000,0.00009383,1.00000000,0.00002272
1.00000000,0.00004771,1.00000000,0.00000552
1.00000000,0.00002660,1.00000000,0.00000170
1.00000000,0.00001098,1.00000000,0.00000060
1.00000000,0.00000500,1.00000000,0.00000026
1.00000000,0.00000224,1.00000000,0.00000016
1.00000000,0.00000224,1.00000000,0.00000013
1.00000000,0.00000166,1.00000000,0.00000012
1.00000000,0.00000128,1.00000000,0.00000012
