learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 2, dataset_size: 25, data_augmentation: False, model_type: 1, exp_name: 2, loss: 4.29578512146e-07, acc: 1.0
val_loss,val_acc,loss,acc
6.29314144,0.33746032,0.12680481,0.97444000
6.64831111,0.33952381,0.00000610,1.00000000
6.90002638,0.33936508,0.00000126,1.00000000
7.11405787,0.33968254,0.00000045,1.00000000
7.27423314,0.34095238,0.00000022,1.00000000
7.41258330,0.34063492,0.00000014,1.00000000
7.48977041,0.33968254,0.00000013,1.00000000
7.53973551,0.33888889,0.00000012,1.00000000
7.59149874,0.33793651,0.00000012,1.00000000
7.62257282,0.33793651,0.00000012,1.00000000
