learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 2, dataset_size: 50, data_augmentation: False, model_type: 1, exp_name: 2, loss: 1.5673325949123071e-07, acc: 1.0
val_loss,loss,val_acc,acc
0.00009738,0.04674684,1.00000000,0.98592000
0.00005171,0.00002713,1.00000000,1.00000000
0.00002992,0.00000731,1.00000000,1.00000000
0.00002597,0.00000227,1.00000000,1.00000000
0.00002020,0.00000076,1.00000000,1.00000000
0.00000946,0.00000032,1.00000000,1.00000000
0.00002240,0.00000018,1.00000000,1.00000000
0.00000911,0.00000013,1.00000000,1.00000000
0.00000945,0.00000012,1.00000000,1.00000000
0.00000391,0.00000012,1.00000000,1.00000000
