learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 2, dataset_size: 1, data_augmentation: True, model_type: 1, exp_name: 3, loss: 0.8572362547829038, acc: 0.8730158597703964
loss,val_loss,acc,val_acc
1.31133408,0.50151750,0.53796000,0.88888889
0.89772300,0.21426494,0.69188000,0.94444444
0.73707479,0.57586447,0.75371000,0.90476189
0.67797699,0.37548800,0.77761000,0.95238094
0.64431215,0.46506087,0.78848000,0.91269841
0.61303674,0.30380987,0.80032000,0.92857141
0.60393683,0.27972260,0.80568000,0.95238094
0.59092727,0.29255963,0.80982000,0.96031745
0.57426427,0.36811455,0.81426000,0.93650794
0.56842031,0.33373990,0.81926999,0.96031745
