learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 2, dataset_size: 100, data_augmentation: True, model_type: 1, exp_name: 3, loss: 0.01661666135306217, acc: 0.9947619048375932
val_loss,loss,val_acc,acc
0.02281298,1.15691571,0.99547619,0.55312000
0.04609957,0.91237888,0.98722223,0.66980000
0.00836567,0.83801903,0.99833333,0.70953000
0.01855429,0.76974374,0.99555556,0.73957000
0.01281836,0.71611955,0.99746032,0.76106000
0.01323955,0.70451504,0.99619048,0.76678000
0.00656723,0.66309215,0.99777778,0.77938000
0.01420536,0.65478746,0.99603175,0.78504000
0.00760128,0.63531846,0.99793651,0.79133000
0.01816642,0.63484461,0.99341270,0.79160000
