learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 2, dataset_size: 25, data_augmentation: True, model_type: 1, exp_name: 3, loss: 0.0026419039995368896, acc: 0.9993650793650793
val_loss,val_acc,acc,loss
0.05599273,0.98349207,0.53381000,1.25025714
0.03038544,0.99333334,0.67959000,0.92195116
0.03109958,0.99047620,0.75260000,0.73989272
0.01037617,0.99682540,0.78239000,0.65589865
0.01998511,0.99428572,0.79419000,0.62578011
0.00509951,0.99873016,0.80741999,0.59488466
0.00633305,0.99777778,0.80759999,0.59984709
0.03888500,0.98634921,0.81135999,0.58179905
0.01155044,0.99523810,0.81250999,0.58520927
0.00302882,0.99936508,0.81868999,0.57054215
