learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 10, dataset_type: 2, dataset_size: 50, data_augmentation: True, model_type: 1, exp_name: 3, loss: 2.1094577485, acc: 0.532698412717
val_loss,val_acc,loss,acc
1.79990052,0.42285714,1.47872577,0.47088000
1.85762603,0.46031746,1.00617696,0.67604000
1.87242472,0.48571429,0.83415154,0.73720000
1.99319064,0.48936508,0.71051701,0.77972000
2.01230059,0.50000000,0.65836589,0.79668000
2.10806477,0.50730159,0.61406303,0.80992000
1.99236923,0.51920635,0.58259488,0.81943999
2.05110043,0.52428571,0.53583467,0.83391999
2.08324825,0.52634921,0.53084399,0.83639999
2.11999551,0.53206349,0.52184451,0.84007999
