learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 2, dataset_size: 75, data_augmentation: True, model_type: 1, exp_name: 3, loss: 0.04301166153361678, acc: 0.9902645502645503
loss,acc,val_acc,val_loss
1.32267946,0.51011000,0.98412699,0.06320863
1.00518433,0.61938000,0.99534392,0.01517407
0.91698654,0.66880000,0.98042328,0.06512890
0.83873811,0.71261000,0.98973545,0.04254179
0.75694496,0.75044000,0.99936508,0.00365534
0.69721367,0.77482000,0.98328043,0.05752516
0.66921499,0.78496000,0.99767196,0.00832003
0.65528074,0.79151000,0.99767196,0.00878517
0.64361081,0.79592000,0.99809524,0.00552408
0.62529672,0.80168000,0.99386244,0.02289355
