learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 0, dataset_size: 1.0, loss: 0.21219064835139684, acc: 0.9432857142175947
loss,val_loss,val_acc,acc
10.98223659,9.62160377,0.39444444,0.30650000
8.84742218,5.89655416,0.61730159,0.43800000
6.03034139,5.56382357,0.64142857,0.61050000
5.50993015,5.24226384,0.64222222,0.63400000
2.14667457,0.58201573,0.84746032,0.74300000
0.51535285,0.45181612,0.88857143,0.86199999
0.40185207,0.37820490,0.90285714,0.88200000
0.38001993,0.34484887,0.90920635,0.89850000
0.35087774,0.33401026,0.91111111,0.90249999
0.30785312,0.30080581,0.92349206,0.91049999
0.36692165,0.29909441,0.91841270,0.89849999
0.29366171,0.29696687,0.92238095,0.91600000
0.28189255,0.27078326,0.92682540,0.92349999
0.29192388,0.28220720,0.92587302,0.91900000
0.25907387,0.28813330,0.92539683,0.93550000
0.23091425,0.25529003,0.93365079,0.93550000
0.24251287,0.24323737,0.93825397,0.92700000
0.25310142,0.22921555,0.94063492,0.92899999
0.21333374,0.24895365,0.93476190,0.93950000
0.21740000,0.23290109,0.93793651,0.93400000
0.24383448,0.23624053,0.93492063,0.93000000
0.20446021,0.22191979,0.93650794,0.94300000
0.21066626,0.23035059,0.93587302,0.93750000
0.27562389,0.22058000,0.93555556,0.92550000
0.20000886,0.21023738,0.94492063,0.93850000
0.20590767,0.25503273,0.93603175,0.93950000
0.21910169,0.22417338,0.94174603,0.94350000
0.20927609,0.20463436,0.94507936,0.94100000
0.20934163,0.19832451,0.94507937,0.93200000
0.18475208,0.20443869,0.94428571,0.94950000
