learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 0, dataset_size: 0.2, loss: 0.34010781254087175, acc: 0.9135714282308306
acc,val_loss,val_acc,loss
0.35200000,1.30585636,0.54523810,3.91887991
0.55800001,1.03473529,0.66031746,1.26627908
0.64550000,0.82515198,0.73174603,1.04266346
0.76600000,0.78382706,0.78968254,0.74548427
0.84149999,0.54750975,0.84920635,0.57422217
0.85449999,0.52746806,0.85238095,0.54497792
0.86999999,0.49429082,0.86587302,0.47595261
0.87500000,0.34161230,0.90158730,0.46130900
0.90299999,0.31517696,0.91190476,0.35622640
0.89800000,0.47019279,0.87698413,0.36244187
0.90300000,0.31792475,0.91031746,0.33896999
0.90549999,0.28727356,0.91269841,0.34945918
0.92700000,0.32079064,0.91428571,0.25261330
0.92349999,0.31182707,0.90079365,0.28775418
0.92850000,0.27813606,0.91428571,0.24540275
0.93400000,0.33242275,0.91666667,0.23550905
0.92750000,0.28241689,0.91349206,0.27789537
0.94599999,0.25368506,0.92539683,0.19831279
0.94400000,0.27674698,0.91984127,0.21765125
0.93649999,0.30898581,0.91507937,0.21284329
0.93399999,0.23052649,0.93174603,0.22386394
0.93700000,0.26970270,0.92857143,0.23133544
0.93850000,0.35124494,0.91111111,0.20927924
0.93750000,0.27531060,0.92936508,0.21928990
0.93850000,0.24852832,0.93015873,0.19470714
0.93150000,0.26211106,0.92222222,0.23801118
0.94150000,0.23648434,0.93253968,0.17758487
0.94650000,0.24591326,0.92539683,0.17925603
0.94600000,0.28898463,0.91904762,0.20018348
0.93849999,0.25690284,0.92936508,0.19325330
