learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 0, dataset_size: 0.3, loss: 0.29105120761053904, acc: 0.9276190477325803
loss,val_acc,val_loss,acc
10.31903431,0.51481481,7.55982110,0.33850000
7.58161042,0.54867725,7.15121155,0.51100000
7.48679451,0.55873016,6.96693853,0.52600000
7.44646593,0.55925926,6.89960942,0.52100000
6.22239097,0.57089947,1.82910831,0.55400000
0.87877815,0.83333333,0.60751837,0.78400000
0.47493885,0.86825397,0.48900872,0.85900000
0.42329871,0.89259259,0.36792135,0.87649999
0.34895276,0.89470899,0.34509717,0.89800000
0.31623575,0.90740741,0.32257189,0.90249999
0.27850356,0.89682540,0.36198194,0.90800000
0.27554733,0.91851852,0.28074363,0.91250000
0.27867570,0.92116402,0.28070849,0.92350000
0.24823359,0.91428571,0.28935269,0.92550000
0.23385295,0.91587302,0.29091130,0.93050000
0.24535390,0.92698413,0.26791137,0.92950000
0.23710987,0.92962963,0.29923415,0.93450000
0.24989127,0.92910053,0.24009829,0.92450000
0.21670925,0.92962963,0.27247473,0.93299999
0.17870734,0.92116402,0.27357417,0.94250000
0.21515913,0.92645503,0.26355242,0.92799999
0.20860369,0.93597884,0.24627281,0.93350000
0.19353813,0.93756614,0.24857816,0.94550000
0.18838457,0.92328042,0.28600881,0.94150000
0.20054342,0.92063492,0.31145293,0.94349999
0.19479558,0.93174603,0.25128885,0.93900000
0.16792529,0.93968254,0.22897752,0.94950000
0.15690351,0.93703704,0.22722551,0.94950000
0.16903382,0.93915344,0.24523766,0.95050000
0.20301448,0.93544974,0.23999348,0.94399999
