learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 0, dataset_size: 0.4, loss: 0.2394759699489389, acc: 0.9367857142857143
val_loss,val_acc,acc,loss
0.99628324,0.69960317,0.44450000,4.67411822
0.52560174,0.84206349,0.78850000,0.71364351
0.40343216,0.88730159,0.85700000,0.52489062
0.35901615,0.90515873,0.90650000,0.33782490
0.34083615,0.90714286,0.90249999,0.34949462
0.34419214,0.90396825,0.90650000,0.34587929
0.30038611,0.91507937,0.91500000,0.30230910
0.31026138,0.91468254,0.92650000,0.27942220
0.28344578,0.92341270,0.91850000,0.29902621
0.29505171,0.91150794,0.92600000,0.27767892
0.24874466,0.92619048,0.92350000,0.28556635
0.25314749,0.93293651,0.94050000,0.22094828
0.25413755,0.93412698,0.93150000,0.24061780
0.24308644,0.93174603,0.92350000,0.27116260
0.22984470,0.93174603,0.92550000,0.24896681
0.24864366,0.92500000,0.93999999,0.21738404
0.23691588,0.93214286,0.93700000,0.21042997
0.21742399,0.93611111,0.93650000,0.21435295
0.24304104,0.93412698,0.94349999,0.19353049
0.23896401,0.93809524,0.93700000,0.20651072
0.24150228,0.93531746,0.95250000,0.17935775
0.22442526,0.93611111,0.93699999,0.23236623
0.21878287,0.93571429,0.94850000,0.17851268
0.21145288,0.93253968,0.94550000,0.18850370
0.23303318,0.93452381,0.94250000,0.16602135
0.25760503,0.92817460,0.94300000,0.17395241
0.22910412,0.93412698,0.94900000,0.17297105
0.22012859,0.93611111,0.95150000,0.17669758
0.21306575,0.93611111,0.94800000,0.18260997
0.23433527,0.93611111,0.95100000,0.16791191
