learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 0, dataset_size: 0.6, loss: 0.23687722863185973, acc: 0.9373809523809524
acc,val_acc,val_loss,loss
0.36650000,0.63624339,1.10403383,3.55731351
0.77250000,0.85767196,0.61628911,0.82535559
0.86949999,0.88015873,0.47780654,0.56663471
0.88900000,0.87566138,0.46410607,0.41927032
0.88400000,0.90238095,0.37076559,0.43292811
0.90250000,0.90661376,0.34378955,0.35235084
0.90399999,0.90264550,0.34585135,0.36603652
0.90300000,0.90952381,0.32633180,0.33906335
0.90750000,0.90582011,0.33332857,0.30776669
0.92599999,0.91164021,0.31686987,0.30575436
0.92049999,0.91719577,0.29637670,0.28888514
0.92450000,0.92063492,0.28345742,0.27709500
0.92050000,0.90211640,0.32569978,0.30087684
0.92600000,0.92010582,0.28586851,0.25413804
0.92450000,0.91402116,0.29314601,0.26358190
0.92500000,0.92380952,0.26985001,0.27271837
0.93350000,0.91719577,0.25887534,0.25525692
0.92750000,0.91349206,0.31128215,0.24419163
0.93000000,0.92751323,0.23853354,0.24787307
0.93150000,0.92539683,0.23575685,0.23879311
0.93350000,0.93253968,0.23017541,0.21956198
0.93049999,0.92698413,0.24004558,0.23868411
0.93500000,0.92380952,0.23836495,0.24731869
0.93449999,0.93095238,0.23230559,0.23008389
0.94000000,0.93095238,0.23782698,0.21063687
0.94149999,0.93518519,0.21491518,0.18383546
0.94349999,0.93359788,0.24067514,0.18248473
0.94450000,0.93068783,0.23004352,0.21758725
0.93600000,0.93412698,0.23053799,0.20540628
0.92800000,0.93333333,0.23583463,0.23310891
