learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 0, dataset_size: 0.9, loss: 0.22061923120703017, acc: 0.9365079363944039
val_loss,acc,val_acc,loss
5.34322960,0.45150000,0.63844797,8.03473048
5.08401713,0.63000000,0.66490300,5.51881508
4.92631666,0.65250000,0.67301587,5.18868940
4.61598157,0.67550000,0.66455026,4.80554972
0.85873075,0.62800000,0.76384480,2.06667567
0.54344352,0.80699999,0.85044092,0.69536795
0.53193629,0.88099999,0.88536155,0.45296164
0.41901615,0.87299999,0.88977072,0.48404242
0.39143002,0.88249999,0.90564374,0.42907402
0.33371973,0.90050000,0.91446208,0.32576518
0.30848235,0.91000000,0.92098765,0.32535478
0.29272917,0.90850000,0.91781305,0.34726414
0.29306988,0.91850000,0.92222222,0.29732497
0.30052634,0.91700000,0.91622575,0.28229305
0.38531205,0.91300000,0.89259259,0.31681227
0.26782045,0.92600000,0.93456790,0.26230896
0.27028123,0.92050000,0.93068783,0.26410097
0.24604836,0.92200000,0.93474427,0.28547596
0.24135438,0.92900000,0.93156966,0.24258824
0.25835586,0.93450000,0.92945326,0.22431767
0.23670029,0.92349999,0.92980600,0.27242027
0.25155875,0.94550000,0.93192240,0.20604397
0.26553838,0.92750000,0.91975309,0.25085547
0.24855880,0.92700000,0.92451499,0.23759461
0.26581355,0.93049999,0.92557319,0.23270145
0.21352170,0.93950000,0.94021164,0.22521053
0.22685244,0.94249999,0.93950617,0.20133949
0.23367831,0.93599999,0.93439153,0.19457391
0.24665529,0.91950000,0.93051146,0.26100207
0.21560488,0.94000001,0.93668430,0.22445441
