learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 1, dataset_size: 1.0, loss: 2.3028344600919692, acc: 0.8571428570671688
val_loss,loss,val_acc,acc
5.48904494,8.96080664,0.41619048,0.34550000
2.58727301,3.54535263,0.79476190,0.64400000
2.45009602,2.37423877,0.83730159,0.82999999
2.43160983,2.34781715,0.84158730,0.84699999
2.41315313,2.37635031,0.84746032,0.84999999
2.40660503,2.35808278,0.84904762,0.85149999
2.40297757,2.24849150,0.85031746,0.85749999
2.40081603,2.49584268,0.85095238,0.84349999
2.39872592,2.12985578,0.85126984,0.86799999
2.40013279,2.18626770,0.85047619,0.86400000
2.39826039,2.32234690,0.85126984,0.85600000
2.39857335,2.16982903,0.85111111,0.86499999
2.39809035,2.36218023,0.85111111,0.85350000
2.39789032,2.23297094,0.85126984,0.86150000
2.40188486,2.46726074,0.85031746,0.84650000
2.39799236,2.30618752,0.85126984,0.85700000
2.39776985,2.50694898,0.85126984,0.84450000
2.39769463,2.43437006,0.85126984,0.84899999
2.39827618,2.18461133,0.85126984,0.86450000
2.39761418,2.24895324,0.85126984,0.86049999
2.39757983,2.41808008,0.85126984,0.84999999
2.39756101,2.36157333,0.85126984,0.85350000
2.39754459,2.03114643,0.85126984,0.87399999
2.39752022,2.09562286,0.85126984,0.86999999
2.39751495,2.43405586,0.85126984,0.84900000
2.39750193,2.11987678,0.85126984,0.86849999
2.39802095,2.46637903,0.85095238,0.84700000
2.39752310,2.36968321,0.85126984,0.85299999
2.39748715,2.52270628,0.85126984,0.84350000
2.39751698,2.28902117,0.85126984,0.85799999
