learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 1, dataset_size: 0.3, loss: 0.005733863853312975, acc: 0.9989417989417989
val_acc,loss,acc,val_loss
0.22169312,12.36691892,0.22100000,12.49213324
0.21269841,12.33037758,0.21900000,12.30985727
0.33915344,11.00801080,0.29350000,10.10739640
0.14761905,6.81266530,0.31250000,1.93298055
0.15714286,1.91566702,0.16000000,1.88372046
0.23121693,1.84445067,0.19300000,1.78014383
0.32063492,1.74910156,0.24200000,1.67748940
0.41058201,1.60227601,0.36550000,1.47434641
0.44338624,1.44062660,0.42000000,1.35318506
0.51111111,1.24399556,0.49350000,1.26330573
0.56666667,1.11151477,0.56900000,1.10868956
0.61693122,1.05463799,0.56750000,0.94735195
0.67089947,0.88721009,0.64500000,0.79351777
0.71322751,0.73826485,0.70650000,0.69044300
0.82433862,0.56442446,0.78850000,0.49940255
0.95079365,0.27972388,0.90700000,0.17900120
0.97195767,0.14208729,0.95550000,0.09706495
0.98095238,0.08074549,0.97500000,0.06879769
0.98201058,0.05086384,0.98400000,0.05347560
0.99365079,0.03632792,0.98850001,0.02727653
0.99312169,0.02600960,0.99550000,0.02978848
0.99576720,0.02268296,0.99350000,0.02367583
0.99259259,0.01718037,0.99600000,0.02829686
0.99629630,0.01506337,0.99800000,0.01950272
0.99788360,0.00831616,1.00000000,0.01494777
0.99788360,0.00826789,0.99850000,0.01402526
0.99735450,0.00699718,0.99950000,0.01783055
0.99894180,0.00932154,0.99800000,0.01067910
0.99947090,0.00629969,0.99900000,0.00916016
0.99788360,0.00521971,0.99950000,0.00983822
