learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 1, dataset_size: 0.4, loss: 0.023649954007908938, acc: 0.9948412698412699
val_acc,acc,val_loss,loss
0.13928571,0.18450000,1.94640262,4.08680519
0.13968254,0.14700000,1.94108909,1.94491977
0.15158730,0.14200000,1.93227592,1.93730696
0.26190476,0.17700000,1.81299983,1.90024218
0.33452381,0.25950000,1.58956117,1.74585019
0.44960317,0.39450000,1.31816869,1.48470668
0.63531746,0.56550000,0.96054471,1.09710641
0.71706349,0.70150000,0.78869682,0.80986899
0.75992063,0.76300000,0.65094983,0.66167753
0.79484127,0.77850000,0.56388646,0.58626973
0.83611111,0.81199999,0.45772929,0.52808489
0.85714286,0.85849999,0.36445309,0.40023323
0.93730159,0.89299999,0.22534683,0.31395725
0.97142857,0.96150000,0.18867625,0.15791384
0.95436508,0.95650000,0.20301472,0.17417806
0.97380952,0.97800000,0.08458303,0.09727247
0.98690476,0.98800001,0.04670385,0.04953762
0.98928571,0.99300001,0.04224170,0.03139116
0.99325397,0.99050000,0.02376821,0.03347043
0.99841270,0.99600000,0.01469111,0.02037366
0.99404762,0.99750000,0.02044782,0.01859878
0.99960317,0.99950000,0.01020504,0.01062549
0.99801587,0.99800000,0.01523438,0.01119672
0.99920635,0.99800000,0.01023313,0.01267398
0.99920635,0.99850000,0.00696648,0.00860351
0.99880952,0.99800000,0.00771528,0.00764337
0.99642857,0.99900000,0.01675989,0.00693226
0.99404762,0.99800000,0.01862803,0.00863178
0.99880952,0.99750000,0.00725816,0.01231956
0.99444444,0.99850000,0.01927204,0.00798086
