learning_rate: 0.01, training_size: 2000, batch_size: 50, num_epochs: 10, loss: 1.38584936122, acc: 0.382189707426
val_loss,val_acc,loss,acc
1.36033936,0.38526198,1.40335466,0.38718000
1.35890096,0.38582236,1.36252144,0.38849000
1.36083500,0.38610255,1.36074514,0.39103000
1.36259304,0.38694312,1.35988065,0.39151000
1.37427170,0.38554217,1.35426209,0.39341000
1.36744341,0.38610255,1.35509337,0.39183000
1.37086875,0.38582236,1.35678001,0.39395000
1.37165224,0.38722331,1.35646451,0.39154000
1.37516367,0.38610255,1.35725187,0.39226000
1.38081751,0.38610255,1.35690312,0.39209000
