learning_rate: 0.01, training_size: 2000, batch_size: 50, num_epochs: 10, loss: 0.193118918124, acc: 0.9436
val_loss,val_acc,loss,acc
0.18020811,0.94355555,0.19154988,0.94181000
0.16555404,0.94288889,0.16403552,0.95095000
0.15844421,0.94311111,0.17382489,0.94872000
0.21665429,0.91688889,0.16805763,0.94846000
0.21952546,0.93266667,0.17324359,0.94798000
0.16885478,0.94133333,0.17105402,0.94801000
0.22084914,0.94288889,0.17159729,0.94561000
0.18684260,0.94333334,0.17564452,0.94938000
0.27283047,0.94177778,0.17953568,0.94765000
0.20531225,0.94466666,0.17938274,0.94797000
