Learning rate,Dataset,Dataset size,Model,Activation,Accuracy,Error
0.1,faces,100.0,1.0, relu,0.142857134342,13.8285522461
0.01,faces,100.0,1.0, relu,0.142857134342,1.94735944271
0.001,faces,100.0,1.0, relu,0.492857128382,3.80217862129
0.0001,faces,100.0,1.0, relu,0.466349214315,4.8325843811
0.1,faces,100.0,1.0, elu,0.142857134342,13.8272342682
0.01,faces,100.0,1.0, elu,0.142857134342,13.8155593872
0.01,faces,10.0,1.0, elu,0.142857134342,11.929526329
0.01,faces,1.0,1.0, elu,0.142857134342,14.0777645111
0.01,faces,0.1,1.0, elu,0.142857134342,14.2808113098
0.001,faces,100.0,1.0, elu,0.483174592257,4.909471035
0.001,faces,10.0,1.0, elu,0.418095231056,6.85372257233
0.001,faces,1.0,1.0, elu,0.404920637608,7.29837560654
0.001,faces,0.1,1.0, elu,0.294285714626,9.07638263702
0.0001,faces,100.0,1.0, elu,0.500317454338,4.1833615303
0.0001,faces,10.0,1.0, elu,0.428095251322,5.56114721298
0.0001,faces,1.0,1.0, elu,0.346031755209,8.15748310089
0.1,faces,100.0,1.0, sigmoid,0.14349205792,6.63243627548
0.01,faces,100.0,1.0, sigmoid,0.346825391054,2.79246997833
0.01,faces,10.0,1.0, sigmoid,0.360000014305,2.71135640144
0.01,faces,1.0,1.0, sigmoid,0.377619057894,1.90389835835
0.01,faces,0.1,1.0, sigmoid,0.204126983881,2.50406384468
0.001,faces,100.0,1.0, sigmoid,0.471269845963,2.60605025291
0.001,faces,10.0,1.0, sigmoid,0.502857148647,2.25956344604
0.001,faces,1.0,1.0, sigmoid,0.507142841816,1.56026148796
0.001,faces,0.1,1.0, sigmoid,0.303968250751,2.54594945908
0.0001,faces,100.0,1.0, sigmoid,0.499206364155,2.67437982559
0.0001,faces,10.0,1.0, sigmoid,0.512063503265,1.65990233421
0.0001,faces,1.0,1.0, sigmoid,0.384444445372,2.73554491997
0.1,faces,100.0,2.0, relu,0.142857134342,13.8275089264
