learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 20, dataset_type: 2, dataset_size: 0.1, model_type: 3, exp_name: baseline, activation: sigmoid
val_loss,val_acc,loss,acc
3.63045947,0.14285714,3.78337812,0.10344828
3.52378164,0.14285714,3.66404843,0.10344828
3.42246039,0.14285714,3.55041456,0.10344828
3.32636302,0.14285714,3.44221449,0.10344828
3.23538873,0.14285714,3.33922267,0.10344828
3.14944620,0.14285714,3.24133205,0.10344828
3.06842525,0.14285714,3.14845276,0.10344828
2.99221639,0.14285714,3.06050944,0.10344828
2.92068706,0.14285714,2.97742176,0.10344828
2.85368972,0.14285714,2.89902472,0.10344828
2.79107317,0.14285714,2.82523179,0.10344828
2.73265201,0.14285714,2.75598288,0.10344828
2.67821962,0.14285714,2.69105792,0.20689656
2.62755845,0.14285714,2.63026953,0.20689656
2.58041939,0.14285714,2.57336807,0.20689656
2.53651293,0.14285714,2.52033472,0.20689656
2.49556066,0.14285714,2.47082162,0.20689656
2.45736899,0.14285714,2.42444682,0.20689656
2.42170824,0.14285714,2.38122034,0.20689656
2.38831112,0.14285714,2.34087992,0.20689656
