Dataset,Size,Model,Accuracy,Error
faces,100.0,1.0,0.505238115788,2.78403925896
clothes,100.0,1.0,0.692571401596,1.19953620434
faces,100.0,2.0,0.512698411942,2.50579977036
clothes,100.0,2.0,0.708285748959,1.08625292778
faces,100.0,3.0,0.52190476656,2.16199707985
clothes,100.0,3.0,0.689428567886,1.37266039848
faces,75.0,1.0,0.505079388618,2.44131064415
clothes,75.0,1.0,0.669857144356,1.6676056385
faces,75.0,2.0,0.520952403545,2.37172269821
clothes,75.0,2.0,0.680428564548,1.32867443562
faces,75.0,3.0,0.520317435265,2.31315946579
clothes,75.0,3.0,0.687714278698,1.13725268841
faces,50.0,1.0,0.507777750492,2.27968835831
clothes,50.0,1.0,0.687714278698,1.42957115173
faces,50.0,2.0,0.529206335545,2.09774279594
clothes,50.0,2.0,0.678571403027,1.4762159586
faces,50.0,3.0,0.51777780056,2.23641490936
clothes,50.0,3.0,0.677714288235,1.32049655914
faces,25.0,1.0,0.142857134342,13.8105802536
clothes,25.0,1.0,0.681857168674,1.76762187481
faces,25.0,2.0,0.51126986742,2.11785936356
clothes,25.0,2.0,0.708142876625,1.15927243233
faces,25.0,3.0,0.51777780056,1.92695879936
clothes,25.0,3.0,0.683714270592,1.17082583904
faces,10.0,1.0,0.329365074635,9.96497917175
clothes,10.0,1.0,0.652571439743,2.23621177673
faces,10.0,2.0,0.519682526588,2.04682135582
clothes,10.0,2.0,0.676285743713,1.75186407566
faces,10.0,3.0,0.511111080647,1.89533138275
clothes,10.0,3.0,0.667714297771,1.57279837132
faces,1.0,1.0,0.331269830465,8.22105026245
clothes,1.0,1.0,0.402000010014,7.31725072861
faces,1.0,2.0,0.477460324764,2.01276755333
clothes,1.0,2.0,0.619428575039,2.03271818161
faces,1.0,3.0,0.483650803566,1.98907077312
clothes,1.0,3.0,0.620000004768,1.93174433708
