learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 100, dataset_type: 1, dataset_size: 1.0, model_type: 1, exp_name: baseline, activation: sigmoid, loss: 0.326543473062, acc: 0.920634915904
val_loss,val_acc,loss,acc
2.70605485,0.60414286,3.23650446,0.43877551
2.25362092,0.68657143,2.02476978,0.88775511
1.96810848,0.72242857,1.57061070,0.95918366
1.76258107,0.74042857,1.29057680,0.98639457
1.62283681,0.74342857,1.09671198,0.99319729
1.51812568,0.74657143,0.95566660,0.99319729
1.43315493,0.74742857,0.84856216,0.99319729
1.35889007,0.75100000,0.76165666,0.99319729
1.29755865,0.75271428,0.68947753,0.99659864
1.24832876,0.75328571,0.62910828,0.99659864
1.20592670,0.75500000,0.57559301,0.99659864
1.17329351,0.75185714,0.52883321,0.99659864
1.14084746,0.75028572,0.48732223,1.00000000
1.11060446,0.74914286,0.45077175,1.00000000
1.08432383,0.75028572,0.41779977,1.00000000
1.06074181,0.74957143,0.38736208,1.00000000
1.03970273,0.74742857,0.35997849,1.00000000
1.02168406,0.74571429,0.33508505,1.00000000
1.00208123,0.74800000,0.31208820,1.00000000
0.98305327,0.74900000,0.29130875,1.00000000
0.96677506,0.74942857,0.27205598,1.00000000
0.95551265,0.74842857,0.25452153,1.00000000
0.94100703,0.74700000,0.23844243,1.00000000
0.93230881,0.74628572,0.22342059,1.00000000
0.92204184,0.74600000,0.20966385,1.00000000
0.91257038,0.74671429,0.19666407,1.00000000
0.90943328,0.74228571,0.18473462,1.00000000
0.90221901,0.74000000,0.17388851,1.00000000
0.89348579,0.74142857,0.16383708,1.00000000
0.88745342,0.73957143,0.15439668,1.00000000
0.88586081,0.73757143,0.14572771,1.00000000
0.88049203,0.73685714,0.13747891,1.00000000
0.87414797,0.73700000,0.12984691,1.00000000
0.87633363,0.73342857,0.12257166,1.00000000
0.87728486,0.73228572,0.11582467,1.00000000
0.87541107,0.73257143,0.10954078,1.00000000
0.86840478,0.73214286,0.10375171,1.00000000
0.87002664,0.73214286,0.09833985,1.00000000
0.86179480,0.73457143,0.09311891,1.00000000
0.86726101,0.73200000,0.08833503,1.00000000
0.86708830,0.73085714,0.08381294,1.00000000
0.86446948,0.72985715,0.07959143,1.00000000
0.86398663,0.72900000,0.07572868,1.00000000
0.86998076,0.72642858,0.07200758,1.00000000
0.86424291,0.72757143,0.06848777,1.00000000
0.86617181,0.72442857,0.06525848,1.00000000
0.86982934,0.72414286,0.06219576,1.00000000
0.86631630,0.72485715,0.05924117,1.00000000
0.86166360,0.72614286,0.05660426,1.00000000
0.86907556,0.72285715,0.05407162,1.00000000
0.86806614,0.72428572,0.05161054,1.00000000
0.86748479,0.72314286,0.04929048,1.00000000
0.86616458,0.72257143,0.04715093,1.00000000
0.86632250,0.72400000,0.04513008,1.00000000
0.88050176,0.71942857,0.04321775,1.00000000
0.87620507,0.72100000,0.04141576,1.00000000
0.87476621,0.72142857,0.03979709,1.00000000
0.88054804,0.72028571,0.03810242,1.00000000
0.87558375,0.72100000,0.03659916,1.00000000
0.88679099,0.71700000,0.03515286,1.00000000
0.87851110,0.72000000,0.03370885,1.00000000
0.88707086,0.71728572,0.03245090,1.00000000
0.88742137,0.71685715,0.03121516,1.00000000
0.88197251,0.71785714,0.03004473,1.00000000
0.89306867,0.71442858,0.02900590,1.00000000
0.90066837,0.71342857,0.02788856,1.00000000
0.90181180,0.71428572,0.02696521,1.00000000
0.89267644,0.71414286,0.02605671,1.00000000
0.90381993,0.71342858,0.02509725,1.00000000
0.89563327,0.71514286,0.02426061,1.00000000
0.90007411,0.71414286,0.02352891,1.00000000
0.90705017,0.71171429,0.02277167,1.00000000
0.90275133,0.71300000,0.02197384,1.00000000
0.91340403,0.71000000,0.02125864,1.00000000
0.91260105,0.70957143,0.02068295,1.00000000
0.90970998,0.70985715,0.02000968,1.00000000
0.91221482,0.71142858,0.01948991,1.00000000
0.91864087,0.70685714,0.01900327,1.00000000
0.92362501,0.71071429,0.01851915,1.00000000
0.91279196,0.71100000,0.01793755,1.00000000
0.92463853,0.70871429,0.01738873,1.00000000
0.91953830,0.70971429,0.01693087,1.00000000
0.92080563,0.70814286,0.01643297,1.00000000
0.94218750,0.70285714,0.01602629,1.00000000
0.92163311,0.71142857,0.01557492,1.00000000
0.92781054,0.70685714,0.01521600,1.00000000
0.93932390,0.70428572,0.01483292,1.00000000
0.92190273,0.70885714,0.01448421,1.00000000
0.93994994,0.70357143,0.01415905,1.00000000
0.93509467,0.70614286,0.01388103,1.00000000
0.93789194,0.70171429,0.01357352,1.00000000
0.94453209,0.70514286,0.01329339,1.00000000
0.93909531,0.70257143,0.01300140,1.00000000
0.94859967,0.70328572,0.01276989,1.00000000
0.94565144,0.70357143,0.01251205,1.00000000
0.94900911,0.70114286,0.01231461,1.00000000
0.94115604,0.70600000,0.01201609,1.00000000
0.94481113,0.70342857,0.01176782,1.00000000
0.94729013,0.70300000,0.01153512,1.00000000
0.93518558,0.70757143,0.01132048,1.00000000
