learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 200, dataset_type: 2, dataset_size: 1.0, model_type: 2, exp_name: baseline, activation: elu, loss: 0.148228758266, acc: 0.952380945758
val_loss,val_acc,loss,acc
3.37002901,0.31857143,3.59170503,0.30272109
3.10072424,0.38142857,2.12340401,0.63945579
2.83203661,0.41984127,1.51308991,0.79591835
2.73355437,0.43936508,1.05483091,0.92517006
2.68986021,0.44492064,0.81983240,0.93537415
2.65599851,0.46174603,0.64060459,0.96938776
2.64494415,0.46412698,0.53267244,0.98979593
2.81622150,0.47047619,0.47112043,0.98639456
2.62032238,0.47476191,0.42409688,1.00000000
2.66648051,0.48063492,0.39887496,0.98639455
2.71711324,0.48460318,0.37180243,1.00000000
2.75716467,0.48111111,0.35012591,0.99319728
2.64076690,0.48809524,0.33770902,0.99659864
2.86594708,0.48761905,0.32300657,0.99319729
2.74466961,0.48222222,0.29786654,1.00000000
2.74336501,0.49174603,0.28446816,1.00000000
2.82798214,0.49063492,0.27269167,1.00000000
2.80014199,0.49206349,0.26028913,1.00000000
2.81610560,0.49047619,0.25081713,1.00000000
2.86034921,0.49015873,0.24153187,1.00000000
2.86844337,0.49269841,0.23339040,1.00000000
2.84583524,0.49412698,0.22568491,1.00000000
2.91029920,0.49333333,0.21833830,1.00000000
2.88205807,0.49412698,0.21153177,1.00000000
2.91378839,0.49365079,0.20529229,1.00000000
2.89246515,0.49333333,0.19896989,1.00000000
2.90855059,0.49412698,0.19335654,1.00000000
2.95483095,0.49111111,0.18790833,1.00000000
2.94223841,0.49333333,0.18260143,1.00000000
2.93619230,0.49333333,0.17774454,1.00000000
2.93792130,0.49365079,0.17324566,1.00000000
2.97044213,0.49412698,0.16858260,1.00000000
2.96303607,0.49428571,0.16434193,1.00000000
2.98080950,0.49365079,0.16014291,1.00000000
2.97227644,0.49476191,0.15600374,1.00000000
3.00908089,0.49380952,0.15217336,1.00000000
2.97419337,0.49412698,0.14824080,1.00000000
3.02759269,0.49539683,0.14469416,1.00000000
3.00383144,0.49333333,0.14157073,1.00000000
3.06427704,0.49380952,0.13840240,1.00000000
3.02491325,0.49476191,0.13533350,1.00000000
3.08432618,0.49206349,0.13205496,1.00000000
3.07970116,0.49666667,0.12887465,1.00000000
3.08350683,0.49396826,0.12644326,1.00000000
3.12321741,0.49698413,0.12317002,1.00000000
3.07504211,0.49555556,0.12060854,1.00000000
3.13093667,0.49523810,0.11766293,1.00000000
3.15431007,0.49460318,0.11519834,1.00000000
3.10813679,0.49714286,0.11276002,1.00000000
3.16414500,0.49380953,0.11042943,1.00000000
3.14946588,0.49412699,0.10814685,1.00000000
3.13088349,0.49507937,0.10602635,1.00000000
3.17626916,0.49301587,0.10384214,1.00000000
3.16055906,0.49492064,0.10187708,1.00000000
3.14366757,0.49507937,0.09983141,1.00000000
3.19545714,0.49396826,0.09800471,1.00000000
3.17590390,0.49412699,0.09587945,1.00000000
3.21825981,0.49492063,0.09404581,1.00000000
3.18843037,0.49507937,0.09225921,1.00000000
3.20222067,0.49380953,0.09046122,1.00000000
3.18836624,0.49555556,0.08888733,1.00000000
3.29225989,0.49380952,0.08720802,1.00000000
3.19778370,0.49619048,0.08558624,1.00000000
3.26641383,0.49349206,0.08407788,1.00000000
3.21733515,0.49571429,0.08246199,1.00000000
3.19860070,0.49650794,0.08097888,1.00000000
3.26027067,0.49380952,0.07971760,1.00000000
3.20508809,0.49619048,0.07812384,1.00000000
3.23875394,0.49476190,0.07697756,1.00000000
3.24011610,0.49539683,0.07547319,1.00000000
3.28209670,0.49444444,0.07406905,1.00000000
3.21334023,0.49650794,0.07292680,1.00000000
3.36352317,0.49412698,0.07168628,1.00000000
3.25256354,0.49523810,0.07044537,1.00000000
3.37803294,0.49333333,0.06967020,1.00000000
3.17101749,0.49698413,0.06878349,1.00000000
