learning_rate: 0.01, training_size: 2000, batch_size: 50, num_epochs: 200, dataset_type: 1, dataset_size: 0.1, model_type: 2, exp_name: baseline, activation: sigmoid
val_loss,val_acc,loss,acc
2.99631165,0.14814286,3.87791061,0.20689656
2.60134424,0.17257143,2.90860128,0.27586207
2.27944047,0.28285714,2.41357946,0.31034482
2.11081300,0.24014286,2.02336383,0.48275861
2.00994240,0.28414286,1.81080866,0.37931034
1.94370545,0.43014286,1.66212082,0.55172414
1.89590328,0.54157143,1.56826866,0.72413790
1.84255357,0.59314286,1.48397517,0.89655173
1.78114530,0.60842857,1.40362597,0.89655173
1.71004101,0.62814286,1.31202579,0.86206895
1.62124299,0.63928572,1.20626402,0.89655173
1.54153392,0.65428572,1.08775806,0.96551722
1.46296606,0.65414286,0.95451695,1.00000000
1.39439430,0.63542857,0.84106922,1.00000000
1.33792759,0.63700001,0.72586232,1.00000000
1.32055132,0.62671429,0.64682484,1.00000000
1.30611651,0.61742858,0.55953443,1.00000000
1.27208875,0.63514286,0.50147903,1.00000000
1.28342050,0.62600001,0.45497301,1.00000000
1.27087009,0.62842857,0.42163536,1.00000000
1.26761833,0.62842858,0.38703787,1.00000000
1.26197641,0.62814286,0.35584274,1.00000000
1.23128831,0.63428572,0.32145801,1.00000000
1.22842255,0.63428572,0.29139453,1.00000000
1.23376265,0.62871429,0.26308972,1.00000000
1.25156763,0.61814286,0.23766269,1.00000000
1.23112680,0.62642858,0.21517147,1.00000000
1.21720659,0.63000000,0.19101773,1.00000000
1.24483068,0.62228572,0.17387547,1.00000000
1.28323781,0.61271429,0.15810388,1.00000000
1.30407209,0.60971429,0.14453693,1.00000000
1.30923202,0.60842858,0.13382357,1.00000000
1.32065540,0.60757143,0.12465903,1.00000000
1.34780210,0.60028572,0.11535825,1.00000000
1.37360538,0.59242857,0.10662606,1.00000000
1.36728252,0.59442857,0.09792761,1.00000000
1.34406127,0.59857143,0.08919810,1.00000000
1.32107206,0.59785714,0.08065914,1.00000000
1.33190616,0.59285714,0.07284657,1.00000000
1.36195546,0.58557143,0.06557155,1.00000000
1.36514732,0.58442857,0.05941213,1.00000000
1.35283806,0.58528572,0.05397718,1.00000000
1.35681010,0.58414286,0.04925571,1.00000000
1.34260902,0.58571429,0.04534653,1.00000000
1.32670750,0.59057143,0.04178931,1.00000000
1.32809952,0.59085715,0.03861640,1.00000000
1.35602373,0.58671429,0.03584480,1.00000000
1.36785374,0.58500000,0.03313416,1.00000000
1.37374581,0.58042857,0.03050018,1.00000000
1.37454269,0.57928572,0.02813837,1.00000000
1.36217413,0.58171429,0.02592213,1.00000000
1.36825287,0.58314286,0.02399015,1.00000000
1.38038331,0.58457143,0.02226304,1.00000000
1.37044592,0.58928572,0.02073571,1.00000000
1.36299231,0.59242857,0.01950263,1.00000000
1.37103668,0.59200000,0.01837442,1.00000000
1.38485161,0.59028572,0.01736439,1.00000000
1.38833291,0.58900000,0.01642927,1.00000000
1.39242313,0.58957143,0.01551646,1.00000000
1.39046385,0.59314286,0.01463612,1.00000000
1.38173504,0.59471429,0.01381384,1.00000000
1.38329174,0.59557143,0.01305402,1.00000000
1.39666736,0.59314286,0.01236000,1.00000000
1.40252676,0.59114286,0.01175031,1.00000000
1.40175087,0.59214286,0.01121092,1.00000000
1.40204946,0.59114286,0.01073502,1.00000000
1.40678679,0.58914286,0.01031770,1.00000000
1.41198250,0.58871429,0.00992588,1.00000000
1.41335046,0.59014286,0.00955827,1.00000000
1.41175190,0.59142858,0.00920913,1.00000000
1.40942770,0.59085715,0.00887141,1.00000000
1.40731141,0.59271429,0.00855875,1.00000000
1.40527267,0.59271429,0.00827458,1.00000000
1.40343766,0.59371429,0.00801159,1.00000000
1.40452921,0.59485715,0.00777478,1.00000000
1.41160025,0.59400000,0.00756135,1.00000000
1.42148987,0.59185715,0.00736188,1.00000000
1.42601895,0.59000000,0.00717663,1.00000000
1.42458843,0.59042858,0.00700528,1.00000000
1.42345222,0.58985715,0.00684193,1.00000000
1.42536605,0.59014286,0.00668807,1.00000000
1.42642990,0.58942857,0.00654015,1.00000000
1.42267769,0.59142857,0.00640131,1.00000000
1.41845374,0.59228572,0.00627417,1.00000000
1.42133951,0.59242857,0.00615658,1.00000000
1.42948180,0.59128572,0.00604744,1.00000000
1.43322911,0.59000000,0.00594497,1.00000000
1.42854477,0.59085714,0.00584799,1.00000000
1.42148797,0.59171429,0.00575524,1.00000000
1.41853365,0.59314286,0.00566538,1.00000000
1.41978327,0.59300000,0.00557891,1.00000000
1.42296085,0.59228572,0.00549561,1.00000000
1.42720648,0.59100000,0.00541624,1.00000000
1.43054161,0.59042857,0.00534103,1.00000000
1.42962616,0.59100000,0.00526941,1.00000000
1.42542404,0.59171429,0.00520119,1.00000000
1.42341991,0.59257143,0.00513697,1.00000000
1.42597156,0.59257143,0.00507545,1.00000000
1.42901986,0.59200000,0.00501579,1.00000000
1.42888822,0.59200000,0.00495774,1.00000000
1.42800123,0.59185715,0.00490156,1.00000000
1.42997867,0.59085715,0.00484699,1.00000000
1.43301569,0.59071429,0.00479376,1.00000000
1.43321949,0.59057143,0.00474175,1.00000000
1.43209483,0.59157143,0.00469093,1.00000000
1.43380044,0.59200000,0.00464165,1.00000000
1.43727617,0.59142857,0.00459410,1.00000000
1.43849112,0.59157143,0.00454816,1.00000000
1.43802090,0.59242857,0.00450330,1.00000000
1.43964826,0.59271429,0.00445964,1.00000000
1.44324932,0.59228572,0.00441693,1.00000000
1.44514375,0.59242858,0.00437523,1.00000000
1.44476724,0.59285715,0.00433454,1.00000000
1.44515044,0.59257143,0.00429522,1.00000000
1.44709610,0.59214286,0.00425727,1.00000000
1.44829548,0.59242857,0.00422034,1.00000000
1.44796563,0.59257143,0.00418424,1.00000000
1.44787064,0.59257143,0.00414889,1.00000000
1.44864435,0.59257143,0.00411434,1.00000000
1.44920396,0.59228572,0.00408047,1.00000000
1.44956148,0.59228572,0.00404722,1.00000000
1.45074727,0.59242857,0.00401456,1.00000000
1.45222096,0.59242857,0.00398247,1.00000000
1.45247295,0.59228572,0.00395113,1.00000000
1.45187061,0.59285715,0.00392042,1.00000000
1.45215872,0.59328572,0.00389026,1.00000000
1.45351640,0.59271429,0.00386050,1.00000000
1.45451013,0.59271429,0.00383137,1.00000000
1.45453204,0.59271429,0.00380269,1.00000000
1.45439069,0.59328572,0.00377450,1.00000000
1.45472184,0.59314286,0.00374679,1.00000000
