learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 100, dataset_type: 2, dataset_size: 0.1, model_type: 3, exp_name: baseline, activation: elu
val_loss,val_acc,loss,acc
3.55961635,0.19222222,3.71809149,0.10344828
3.46787796,0.20396826,3.24101496,0.44827586
3.36837919,0.20968254,2.96275496,0.48275861
3.26494939,0.22952381,2.71499825,0.51724136
3.16988535,0.25333333,2.47513437,0.62068963
3.09404664,0.26507936,2.26457405,0.75862068
3.03506016,0.27333333,2.07838416,0.79310346
2.98804916,0.28936508,1.89856207,0.79310346
2.94737461,0.30238095,1.72800767,0.79310346
2.91611259,0.30873016,1.57487333,0.86206895
2.89472793,0.31222222,1.43659496,0.89655173
2.88235466,0.31984127,1.30814469,0.89655173
2.87500765,0.32730159,1.19358397,0.96551722
2.87723641,0.32793651,1.09415019,0.96551722
2.90054444,0.32873016,1.00746822,1.00000000
2.95047298,0.32634921,0.93217319,1.00000000
3.02442521,0.32666667,0.86494958,1.00000000
3.11254284,0.32571429,0.80292386,1.00000000
3.20339906,0.32761905,0.74909002,1.00000000
3.29025736,0.32904762,0.70322943,1.00000000
3.37480901,0.33111111,0.66236502,1.00000000
3.46087885,0.32777778,0.62543005,1.00000000
3.54941386,0.32412698,0.59213287,1.00000000
3.63814625,0.32238095,0.56187576,1.00000000
3.72283821,0.32285714,0.53412580,1.00000000
3.79798472,0.32174603,0.50853699,1.00000000
3.86230911,0.32253968,0.48465902,1.00000000
3.91613959,0.32444444,0.46195856,1.00000000
3.96416244,0.32603175,0.44092086,1.00000000
4.00973105,0.32777778,0.42125496,1.00000000
4.05513092,0.32809524,0.40287736,1.00000000
4.10107991,0.32952381,0.38566950,1.00000000
4.14719561,0.32857143,0.36951834,1.00000000
4.19261765,0.32873016,0.35433963,1.00000000
4.23673216,0.32857143,0.34006864,1.00000000
4.27889254,0.32873016,0.32665500,1.00000000
4.31884338,0.32841270,0.31405234,1.00000000
4.35610579,0.32698413,0.30221504,1.00000000
4.39018077,0.32619048,0.29109544,1.00000000
4.42065609,0.32476190,0.28064623,1.00000000
4.44713714,0.32396825,0.27082044,1.00000000
4.46931509,0.32349206,0.26157531,1.00000000
4.48708517,0.32238095,0.25287196,1.00000000
4.50045449,0.32174603,0.24467562,1.00000000
4.50940883,0.32079365,0.23695253,1.00000000
4.51421634,0.32015873,0.22967178,1.00000000
4.51542087,0.31968254,0.22280595,1.00000000
4.51361997,0.31968254,0.21632770,1.00000000
4.50935490,0.31841270,0.21020967,1.00000000
4.50306898,0.31857143,0.20442562,1.00000000
4.49540815,0.31873016,0.19895205,1.00000000
4.48733443,0.31809524,0.19376597,1.00000000
4.47916714,0.31761905,0.18884560,1.00000000
4.47062431,0.31746032,0.18417275,1.00000000
4.46119879,0.31746032,0.17972918,1.00000000
4.45047522,0.31730159,0.17549770,1.00000000
4.43814741,0.31761905,0.17146333,1.00000000
4.42413926,0.31746032,0.16761301,1.00000000
4.40875463,0.31730159,0.16393240,1.00000000
4.39245757,0.31714286,0.16041066,1.00000000
4.37606305,0.31714286,0.15703630,1.00000000
4.36060976,0.31746032,0.15379980,1.00000000
4.34666433,0.31746032,0.15068981,1.00000000
4.33410946,0.31746032,0.14769864,1.00000000
4.32254893,0.31603174,0.14481740,1.00000000
4.31133200,0.31603174,0.14203981,1.00000000
4.30021087,0.31555555,0.13935734,1.00000000
4.28958744,0.31523809,0.13674653,1.00000000
4.27975532,0.31492063,0.13423938,1.00000000
4.27070337,0.31523809,0.13181089,1.00000000
4.26220953,0.31523809,0.12945759,1.00000000
4.25378433,0.31492063,0.12717427,1.00000000
4.24512381,0.31476190,0.12494214,1.00000000
4.23588072,0.31396825,0.12278754,1.00000000
4.22595737,0.31380952,0.12069272,1.00000000
4.21540573,0.31365079,0.11865374,1.00000000
4.20424398,0.31396825,0.11666839,1.00000000
4.19286908,0.31396825,0.11473487,1.00000000
4.18183758,0.31412698,0.11283840,1.00000000
4.17132373,0.31444444,0.11098888,1.00000000
4.16096269,0.31444444,0.10919506,1.00000000
4.15025234,0.31412698,0.10744431,1.00000000
4.13932684,0.31396825,0.10573459,1.00000000
4.12870851,0.31349206,0.10406412,1.00000000
4.11859864,0.31285714,0.10243139,1.00000000
4.10862098,0.31253968,0.10083523,1.00000000
4.09802653,0.31222222,0.09927537,1.00000000
4.08667237,0.31206349,0.09774938,1.00000000
4.07517745,0.31158730,0.09625656,1.00000000
4.06402746,0.31158730,0.09479634,1.00000000
4.05344418,0.31158730,0.09336632,1.00000000
4.04319272,0.31095238,0.09196695,1.00000000
4.03311111,0.31031746,0.09058949,1.00000000
4.02313813,0.31000000,0.08924754,1.00000000
4.01346510,0.31047619,0.08793312,1.00000000
4.00434694,0.31015873,0.08664585,1.00000000
3.99572922,0.30968254,0.08538405,1.00000000
3.98714124,0.30952381,0.08414795,1.00000000
3.97799454,0.30968254,0.08293583,1.00000000
3.96833451,0.30968254,0.08174731,1.00000000
