learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 10, dataset_type: 1, dataset_size: 1, data_augmentation: False, model_type: 1, exp_name: 0, loss: 0.45861343117, acc: 0.928571422895
val_loss,val_acc,loss,acc
3.60628228,0.55942857,0.09111973,0.97196000
3.97351933,0.55771429,0.00095448,1.00000000
4.15936771,0.55871429,0.00032917,1.00000000
4.28535135,0.55742857,0.00015704,1.00000000
4.36958322,0.55914286,0.00009064,1.00000000
4.45757606,0.55700000,0.00005387,1.00000000
4.53027497,0.55614286,0.00003710,1.00000000
4.58732972,0.55528572,0.00002431,1.00000000
4.64700414,0.55571429,0.00001729,1.00000000
4.69101518,0.55557143,0.00001227,1.00000000
