learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 10, dataset_type: 1, dataset_size: 1, data_augmentation: True, model_type: 1, exp_name: 1, loss: 1.18887657968, acc: 0.761904765689
val_loss,val_acc,loss,acc
1.01557638,0.73328571,0.31426613,0.89364000
1.11645850,0.73557143,0.15595222,0.94768000
1.18916180,0.74042857,0.12928333,0.95892000
1.13932828,0.74742857,0.12657906,0.95816000
1.10620241,0.75985714,0.11214837,0.96312000
1.20438076,0.74442857,0.11062082,0.96432000
1.29095501,0.74914286,0.09608302,0.96804000
1.20851136,0.74914286,0.09714205,0.96676000
1.23973699,0.74771429,0.09480609,0.96780000
1.17934939,0.76242857,0.09724235,0.96820000
