learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 10, dataset_type: 2, dataset_size: 25, data_augmentation: False, model_type: 1, exp_name: 2, loss: 0.000341109070947, acc: 1.0
val_loss,val_acc,loss,acc
3.68668678,0.34587302,0.49721566,0.87636000
4.69072602,0.34523810,0.02221016,0.99888000
5.05585559,0.34936508,0.00752479,0.99984000
5.51431389,0.34666667,0.00330760,1.00000000
5.88988898,0.34428571,0.00191561,1.00000000
6.13236929,0.34587302,0.00114128,1.00000000
6.20881057,0.34841270,0.00073203,1.00000000
6.56967486,0.34730159,0.00049389,1.00000000
6.66575243,0.34571429,0.00037338,1.00000000
6.80940427,0.34666667,0.00024718,1.00000000
