learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 10, dataset_type: 2, dataset_size: 10, data_augmentation: True, model_type: 1, exp_name: 3, loss: 2.13226455696, acc: 0.521428571429
val_loss,val_acc,loss,acc
1.75992630,0.40253968,1.50109871,0.46612000
1.82576328,0.44015873,1.06762351,0.65180000
1.85725781,0.45873016,0.90455342,0.71064000
1.91256851,0.48063492,0.79144973,0.75548000
1.90283483,0.49015873,0.73393677,0.77528000
2.01841540,0.49333333,0.66739418,0.79704000
2.01406156,0.50698413,0.63345253,0.80479999
2.04214955,0.51968254,0.60461702,0.81419999
2.08767824,0.51317461,0.58135663,0.82199999
2.10701275,0.52317460,0.55745570,0.82999999
