learning_rate: 0.0001, training_size: 2000, batch_size: 50, num_epochs: 20, dataset_type: 1, dataset_size: 100, model_type: 1, exp_name: baseline, activation: elu, loss: 0.260719743475, acc: 0.959365079327
val_loss,val_acc,loss,acc
3.20258075,0.69728572,2.33301354,0.87445578
2.65625405,0.73414286,1.42288348,0.94789116
2.30100102,0.73785714,1.12849666,0.96377551
2.17273041,0.73600000,0.91839760,0.97241497
2.17907576,0.73114286,0.75306800,0.97959184
1.87675223,0.74442857,0.62745512,0.98306123
1.72818789,0.75085714,0.52563246,0.98578232
1.71497734,0.74771429,0.44715722,0.98755102
1.76625547,0.74571428,0.38643297,0.98676871
1.59448891,0.74657143,0.33220326,0.98891157
1.50923267,0.73400000,0.28868141,0.99102041
1.46242852,0.75671428,0.25635037,0.99091837
1.47844836,0.74871429,0.22806155,0.99170068
1.41808848,0.74371429,0.20599735,0.99176871
1.30419946,0.75557143,0.18705657,0.99125851
1.29567366,0.75100000,0.16708532,0.99319728
1.28086928,0.75142857,0.15336734,0.99289116
1.34356681,0.74400000,0.14284680,0.99241497
1.42470856,0.73171429,0.13420288,0.99129252
1.27448031,0.74414286,0.12489117,0.99272109
