learning_rate: 0.01, training_size: 2000, batch_size: 50, num_epochs: 20, dataset_type: 1, dataset_size: 10.0, model_type: 1, exp_name: baseline, activation: elu, loss: 11.4407328046, acc: 0.55317460308
val_loss,val_acc,loss,acc
10.20475054,0.47700000,9.92415796,0.51292517
9.83700247,0.47957143,8.54530707,0.58639456
9.69738879,0.49414286,8.61149533,0.56258504
10.30955729,0.51171429,9.41350711,0.54421769
12.36800217,0.37371429,10.59741514,0.49693877
11.53260061,0.41271428,10.66763777,0.46598639
10.90033686,0.43000000,9.07948168,0.54829932
10.07321652,0.47471428,9.08149148,0.55374150
11.60388887,0.44200000,9.66767616,0.54319728
11.68638992,0.44014286,10.63867321,0.52006803
12.93151434,0.41842857,11.60543232,0.48333333
10.97815715,0.48342857,10.46474675,0.54081633
13.49804043,0.34614286,9.67732733,0.55170068
11.63070807,0.44857143,11.48389479,0.50204082
14.25247424,0.39442857,10.86544288,0.52551021
12.40463420,0.43014286,11.48479293,0.50272109
13.45393544,0.42300000,11.62627245,0.50850340
15.16559820,0.38171429,13.37581795,0.44693878
13.68834891,0.42114286,12.88322747,0.53367347
12.93193592,0.45942857,11.99467692,0.54523810
