learning_rate: 0.1, training_size: 2000, batch_size: 50, num_epochs: 20, dataset_type: 2, dataset_size: 100, model_type: 2, exp_name: baseline, activation: sigmoid, loss: 1.96813404515, acc: 0.140317460317
val_loss,val_acc,loss,acc
1.96396223,0.14285714,3.51001508,0.14581633
1.95711901,0.14285714,1.95324482,0.14465986
1.96474629,0.14285714,1.96492536,0.14142857
1.96618475,0.14285714,1.96554139,0.14207483
1.95932746,0.14285714,1.96579971,0.13928571
1.96616888,0.14285714,1.96630775,0.14459184
1.96655011,0.14285714,1.96820776,0.14142857
1.96148310,0.14285714,1.96740789,0.14285714
1.96812495,0.14285714,1.96897440,0.14326531
1.97261156,0.14285714,1.96768386,0.14129252
1.96434230,0.14285714,2.41352191,0.13697279
1.96268615,0.14285714,1.96518951,0.14051020
1.96642956,0.14285714,1.96498663,0.14574830
1.96647915,0.14285714,1.96702738,0.14411565
1.96360329,0.14285714,1.96773835,0.14166667
1.96587728,0.14285714,1.96708175,0.14442177
1.97242328,0.14285714,1.96790715,0.14302721
1.97119457,0.14285714,1.96784785,0.14455782
1.96471861,0.14285714,1.96832317,0.14819728
1.96775094,0.14285714,2.85589167,0.14493197
