learning_rate: 0.01, training_size: 2000, batch_size: 50, num_epochs: 20, dataset_type: 1, dataset_size: 0.1, model_type: 3, exp_name: baseline, activation: elu
val_loss,val_acc,loss,acc
4.38329219,0.22071428,3.72441030,0.13793103
2.89858037,0.49357143,2.97341490,0.51724136
3.85601286,0.43957143,2.11896777,0.75862068
3.66832161,0.46985714,2.38768864,0.65517241
4.33864598,0.46471429,1.11815214,0.96551722
4.88749111,0.45057143,1.14311457,0.96551722
4.67909155,0.50442857,1.19834721,1.00000000
4.52111560,0.53457143,1.20922518,1.00000000
4.43659591,0.56100000,1.22904193,1.00000000
4.41430570,0.57057143,1.22915447,1.00000000
4.44026768,0.56800000,1.20762336,1.00000000
4.50247860,0.55414286,1.17036605,1.00000000
4.58125604,0.54357143,1.12412310,1.00000000
4.64914555,0.53957143,1.07342291,1.00000000
4.68962875,0.53814286,1.02253950,1.00000000
4.71571836,0.54014286,0.97328907,1.00000000
4.74037179,0.53942857,0.92713606,1.00000000
4.76545089,0.53871429,0.88414502,1.00000000
4.78923088,0.53785714,0.84329385,1.00000000
4.81036440,0.53528571,0.80327851,1.00000000
