learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 20, dataset_type: 1, dataset_size: 0.1, model_type: 3, exp_name: baseline, activation: sigmoid
val_loss,val_acc,loss,acc
3.63698605,0.14285714,3.62454915,0.24137931
3.53478185,0.14285714,3.51265192,0.24137931
3.43770917,0.14285714,3.40576839,0.24137931
3.34569509,0.14285714,3.30382681,0.24137931
3.25866013,0.14285714,3.20673847,0.24137931
3.17650665,0.14285714,3.11435604,0.24137931
3.09911588,0.14285714,3.02658749,0.24137931
3.02636261,0.14285714,2.94326377,0.24137931
2.95809331,0.14285714,2.86424446,0.24137931
2.89414588,0.14285714,2.78941774,0.24137931
2.83434798,0.14285714,2.71855640,0.24137931
2.77850983,0.14285714,2.65148067,0.24137931
2.72642159,0.14285714,2.58806014,0.24137931
2.67785352,0.14285714,2.52814531,0.24137931
2.63256485,0.14285714,2.47153974,0.24137931
2.59031805,0.14285714,2.41806817,0.24137931
2.55087051,0.14285714,2.36752796,0.24137931
2.51398663,0.14285714,2.31972003,0.24137931
2.47944436,0.15942857,2.27446365,0.24137931
2.44706272,0.18800000,2.23152208,0.41379312
