learning_rate: 0.01, training_size: 2000, batch_size: 50, num_epochs: 20, dataset_type: 2, dataset_size: 0.1, model_type: 3, exp_name: baseline, activation: sigmoid
val_loss,val_acc,loss,acc
2.87189608,0.14285714,3.67632985,0.20689656
2.42352990,0.14285714,2.78059793,0.20689656
2.21525643,0.14285714,2.30077028,0.20689656
2.15003773,0.14285714,2.07199049,0.20689656
2.17335980,0.14285714,1.99673891,0.20689656
2.23565894,0.14285714,2.01901460,0.20689656
2.29508732,0.14285714,2.08241820,0.20689656
2.32487272,0.14285714,2.14348936,0.20689656
2.31870864,0.14285714,2.17409492,0.20689656
2.28375095,0.14285714,2.16970897,0.20689656
2.23477035,0.14301587,2.13498545,0.20689656
2.18645960,0.14349206,2.08662629,0.20689656
2.14274485,0.14285714,2.03792191,0.20689656
2.10710767,0.14285714,1.99462008,0.20689656
2.08084026,0.14301587,1.95660329,0.20689656
2.06188044,0.14365079,1.93504882,0.20689656
2.05544233,0.15555555,1.91642714,0.20689656
2.05318521,0.18174603,1.91029441,0.24137931
2.05557811,0.18317460,1.90381289,0.37931034
2.06160716,0.17777778,1.89951515,0.41379312
