learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 200, dataset_type: 2, dataset_size: 0.1, model_type: 3, exp_name: baseline, activation: elu
val_loss,val_acc,loss,acc
3.55532936,0.18555556,3.79607987,0.13793103
3.46589610,0.19746032,3.31246090,0.37931034
3.35979739,0.23365079,2.96897602,0.62068963
3.24283084,0.26015873,2.66765332,0.79310346
3.13463546,0.27206349,2.39174724,0.89655173
3.04284067,0.28253968,2.13593674,0.93103451
2.96115733,0.29603175,1.90716672,0.93103451
2.90000001,0.30126984,1.70510054,0.96551722
2.86188400,0.30365079,1.53402174,0.96551722
2.84156795,0.30619048,1.38682377,0.96551722
2.82769322,0.30761905,1.26183188,0.96551722
2.81888883,0.30809524,1.15459490,1.00000000
2.82241174,0.31047619,1.06228411,1.00000000
2.83733774,0.31349206,0.98489654,1.00000000
2.86370792,0.31269841,0.91816062,1.00000000
2.90006521,0.31523809,0.86029649,1.00000000
2.94309981,0.31492064,0.80972737,1.00000000
2.99096746,0.31603175,0.76427472,1.00000000
3.04191410,0.31634921,0.72302407,1.00000000
3.09352651,0.31698413,0.68528521,1.00000000
3.14363280,0.31809524,0.65040338,1.00000000
3.19055913,0.31730159,0.61800128,1.00000000
3.23321353,0.31904762,0.58775926,1.00000000
3.27160327,0.31952381,0.55941325,1.00000000
3.30603140,0.32047619,0.53277659,1.00000000
3.33711242,0.32126984,0.50771564,1.00000000
3.36519150,0.32031746,0.48412505,1.00000000
3.39034144,0.31968254,0.46190998,1.00000000
3.41257965,0.31857143,0.44098496,1.00000000
3.43186021,0.31920635,0.42127356,1.00000000
3.44822388,0.31857143,0.40270886,1.00000000
3.46182628,0.31761905,0.38522762,1.00000000
3.47275278,0.31682540,0.36877185,1.00000000
3.48119159,0.31746032,0.35328764,1.00000000
3.48731575,0.31682540,0.33872232,1.00000000
3.49130400,0.31587302,0.32502487,1.00000000
3.49332653,0.31523810,0.31214598,1.00000000
3.49355485,0.31571429,0.30003786,1.00000000
3.49216141,0.31555556,0.28865537,1.00000000
3.48930020,0.31571429,0.27795494,1.00000000
3.48513943,0.31539683,0.26789454,1.00000000
3.47983980,0.31619048,0.25843480,1.00000000
3.47354720,0.31619048,0.24953645,1.00000000
3.46639573,0.31603175,0.24116431,1.00000000
3.45851124,0.31507937,0.23328340,1.00000000
3.45001466,0.31523810,0.22586024,1.00000000
3.44101100,0.31492064,0.21886565,1.00000000
3.43161100,0.31507937,0.21227002,1.00000000
3.42191658,0.31476190,0.20604511,1.00000000
3.41201223,0.31444444,0.20016579,1.00000000
3.40195838,0.31507936,0.19460800,1.00000000
3.39179478,0.31476190,0.18934846,1.00000000
3.38156447,0.31523810,0.18436629,1.00000000
3.37131338,0.31634921,0.17964113,1.00000000
3.36109030,0.31650794,0.17515510,1.00000000
3.35095877,0.31650794,0.17088963,1.00000000
3.34099631,0.31650794,0.16682905,1.00000000
3.33122020,0.31619048,0.16295953,1.00000000
3.32162429,0.31619048,0.15926526,1.00000000
3.31216955,0.31539683,0.15573487,1.00000000
3.30278866,0.31523810,0.15235572,1.00000000
3.29355373,0.31571429,0.14911780,1.00000000
3.28442166,0.31587302,0.14601019,1.00000000
3.27534806,0.31619048,0.14302453,1.00000000
3.26643339,0.31539683,0.14015166,1.00000000
3.25777920,0.31492063,0.13738528,1.00000000
3.24943176,0.31492063,0.13471711,1.00000000
3.24129770,0.31507937,0.13214144,1.00000000
3.23331308,0.31555556,0.12965265,1.00000000
3.22542596,0.31634921,0.12724462,1.00000000
3.21760138,0.31698413,0.12491351,1.00000000
3.20981845,0.31603175,0.12265453,1.00000000
3.20206805,0.31650794,0.12046264,1.00000000
3.19432727,0.31650794,0.11833473,1.00000000
3.18654455,0.31698413,0.11626813,1.00000000
3.17867007,0.31761905,0.11425833,1.00000000
3.17059820,0.31714286,0.11230271,1.00000000
3.16243430,0.31682540,0.11038843,1.00000000
3.15420961,0.31634921,0.10853525,1.00000000
3.14604646,0.31698413,0.10672896,1.00000000
3.13803966,0.31761905,0.10496803,1.00000000
3.13020294,0.31698413,0.10325086,1.00000000
3.12247287,0.31714286,0.10157539,1.00000000
3.11476990,0.31730159,0.09993992,1.00000000
3.10708346,0.31682540,0.09834267,1.00000000
3.09948429,0.31619048,0.09678251,1.00000000
3.09207822,0.31619048,0.09525905,1.00000000
3.08494027,0.31555556,0.09376965,1.00000000
3.07806027,0.31571429,0.09231369,1.00000000
3.07137627,0.31571429,0.09089041,1.00000000
3.06486097,0.31523810,0.08949770,1.00000000
3.05853412,0.31634921,0.08813541,1.00000000
3.05239331,0.31666667,0.08680224,1.00000000
3.04639497,0.31698413,0.08549740,1.00000000
3.04053992,0.31682540,0.08422022,1.00000000
3.03487171,0.31603175,0.08297002,1.00000000
3.02943072,0.31619048,0.08174550,1.00000000
3.02418830,0.31539683,0.08054671,1.00000000
3.01909193,0.31571429,0.07937195,1.00000000
3.01412819,0.31571429,0.07822119,1.00000000
3.00929537,0.31571429,0.07709395,1.00000000
3.00455384,0.31603175,0.07598865,1.00000000
2.99985251,0.31619048,0.07490541,1.00000000
2.99519838,0.31650794,0.07384329,1.00000000
2.99063850,0.31587302,0.07280239,1.00000000
2.98617999,0.31634921,0.07178162,1.00000000
2.98179013,0.31650794,0.07078058,1.00000000
2.97747199,0.31634921,0.06979854,1.00000000
2.97325250,0.31634921,0.06883565,1.00000000
2.96913462,0.31634921,0.06789070,1.00000000
2.96511413,0.31666667,0.06696339,1.00000000
2.96121117,0.31650794,0.06605349,1.00000000
2.95741712,0.31682540,0.06516030,1.00000000
2.95372513,0.31714286,0.06428345,1.00000000
2.95016371,0.31746032,0.06342278,1.00000000
2.94678317,0.31746032,0.06257759,1.00000000
2.94356408,0.31714286,0.06174757,1.00000000
2.94049290,0.31777778,0.06093246,1.00000000
2.93755744,0.31793651,0.06013174,1.00000000
2.93473761,0.31841270,0.05934525,1.00000000
2.93203749,0.31825397,0.05857314,1.00000000
2.92943490,0.31825397,0.05781456,1.00000000
2.92689723,0.31777778,0.05706905,1.00000000
2.92448198,0.31761905,0.05633637,1.00000000
2.92220914,0.31666667,0.05561635,1.00000000
2.92001131,0.31650794,0.05490864,1.00000000
2.91787060,0.31603175,0.05421300,1.00000000
2.91584043,0.31587302,0.05352901,1.00000000
2.91394585,0.31603175,0.05285642,1.00000000
2.91222959,0.31603175,0.05219528,1.00000000
2.91070111,0.31619048,0.05154505,1.00000000
2.90932731,0.31603175,0.05090567,1.00000000
2.90810972,0.31587302,0.05027689,1.00000000
2.90708476,0.31634921,0.04965848,1.00000000
2.90622016,0.31666667,0.04905034,1.00000000
2.90546393,0.31682540,0.04845212,1.00000000
2.90486901,0.31730159,0.04786365,1.00000000
2.90440151,0.31698413,0.04728473,1.00000000
2.90400178,0.31698413,0.04671505,1.00000000
2.90369026,0.31698413,0.04615458,1.00000000
2.90339701,0.31666667,0.04560305,1.00000000
2.90304862,0.31666667,0.04506032,1.00000000
