learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 20, dataset_type: 1, dataset_size: 1, data_augmentation: False, model_type: 1, exp_name: simple_transfer, loss: 0.36279845427, acc: 0.920634921581
val_loss,val_acc,loss,acc
2.62241709,0.55171429,0.02674747,0.99272000
2.83515337,0.55314286,0.00072110,1.00000000
2.97481174,0.55242857,0.00031280,1.00000000
3.07014519,0.55214286,0.00017233,1.00000000
3.15482695,0.55257143,0.00010791,1.00000000
3.22662104,0.55157143,0.00007071,1.00000000
3.28310117,0.55171429,0.00005007,1.00000000
3.34624626,0.55157143,0.00003553,1.00000000
3.39979406,0.55185714,0.00002648,1.00000000
3.45254246,0.55142857,0.00001967,1.00000000
3.50431419,0.55214286,0.00001506,1.00000000
3.55370928,0.55214286,0.00001118,1.00000000
3.59605592,0.55185714,0.00000859,1.00000000
3.63543561,0.55157143,0.00000655,1.00000000
3.68189126,0.55114286,0.00000510,1.00000000
3.72431233,0.55085714,0.00000394,1.00000000
3.76193472,0.55057143,0.00000307,1.00000000
3.80186304,0.55085714,0.00000236,1.00000000
3.84172997,0.55057143,0.00000189,1.00000000
3.87990879,0.55071429,0.00000149,1.00000000
