learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 20, dataset_type: 2, dataset_size: 1, data_augmentation: True, model_type: 1, exp_name: simple_transfer_da, loss: 1.96591516147, acc: 0.484126985546
val_loss,val_acc,loss,acc
1.80593439,0.31920635,1.59383556,0.42760000
1.72919149,0.37492063,1.28454640,0.57476000
1.78498187,0.38888889,1.14577809,0.63304000
1.73237210,0.40777778,1.07822017,0.65304001
1.79133892,0.41444444,1.00442714,0.68228000
1.79941710,0.42666667,0.96311073,0.69316000
1.80416235,0.43777778,0.93359291,0.70544000
1.84189136,0.43682540,0.90476506,0.71400000
1.87531331,0.43396825,0.87152683,0.72488000
1.88661088,0.43809524,0.85443386,0.72984000
1.88664929,0.44507937,0.82608595,0.74332000
1.91995661,0.43555556,0.82341527,0.74484000
1.88410991,0.44428571,0.80533538,0.74880000
1.92009474,0.43920635,0.79016710,0.75272000
1.94009653,0.44809524,0.78362709,0.75372000
1.95191351,0.45460317,0.75795125,0.76320000
1.94728009,0.44539682,0.75281300,0.76688000
1.97308788,0.45841270,0.75026346,0.76628000
1.99279454,0.46142857,0.74334156,0.76996000
1.99676303,0.46015873,0.73433557,0.77520000
