learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 10, dataset_type: 1, dataset_size: 1, data_augmentation: False, model_type: 1, exp_name: simple_transfer, loss: 0.497714608435, acc: 0.904761898139
val_loss,val_acc,loss,acc
0.35294585,0.91542857,0.03336528,0.99212000
0.37880607,0.91685714,0.00101171,1.00000000
0.39954395,0.91557143,0.00042398,1.00000000
0.41346872,0.91628571,0.00023706,1.00000000
0.42666890,0.91571428,0.00014786,1.00000000
0.43906751,0.91571429,0.00009994,1.00000000
0.44738542,0.91571429,0.00006913,1.00000000
0.45440382,0.91585714,0.00004846,1.00000000
0.46606462,0.91542857,0.00003692,1.00000000
0.47026923,0.91671428,0.00002694,1.00000000
