learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 20, dataset_type: 2, dataset_size: 100, data_augmentation: False, model_type: 1, exp_name: simple_transfer, loss: 0.0012635798372, acc: 1.0
val_loss,val_acc,loss,acc
2.39667261,0.34349206,0.82130539,0.87020000
3.03931121,0.34619048,0.22571132,0.99424000
3.46580024,0.34380952,0.11384524,0.99760000
3.81781650,0.34444444,0.06960466,0.99856000
4.20827674,0.34523810,0.04781271,0.99892000
4.45804671,0.34492064,0.03449968,0.99924000
4.65601351,0.34619048,0.02560482,0.99936000
4.92543181,0.34555556,0.01885657,0.99952000
5.13583435,0.34587302,0.01487145,0.99956000
5.28131265,0.34698413,0.01158486,0.99980000
5.50019549,0.34571429,0.00941943,0.99960000
5.63529799,0.34507937,0.00758595,0.99968000
5.83515499,0.34380953,0.00621894,0.99968000
5.99228660,0.34492064,0.00489184,0.99996000
6.01881549,0.34460318,0.00382463,1.00000000
6.22850158,0.34396826,0.00340694,0.99992000
6.32806640,0.34571429,0.00266909,1.00000000
6.43480793,0.34365080,0.00219485,1.00000000
6.57736669,0.34460318,0.00193839,0.99996000
6.70221116,0.34523810,0.00148983,1.00000000
